date,url,rating,user,opinion
on 28 January 2018,/gp/customer-reviews/R1WF06S8B0ZRDF?ASIN=B01DDP7D6W,4,Amazon Customer,Very nice budget phone...Both front and rear Camera quality is gr8
on 2 October 2018,/gp/customer-reviews/R3RYO4LJD7060Z?ASIN=B01DDP7D6W,5,V.Chandrashekhar,Good phone
on 16 July 2018,/gp/customer-reviews/R14X87SHBSUNV3?ASIN=B01DDP7D6W,5,Amazon Customer,nice phone
on 5 August 2018,/gp/customer-reviews/RVZ91SHCLDXZU?ASIN=B01DDP7D6W,5,BISHAL DAS,I BOUGHT THIS FOR MY OFFICE PARTNER.HE IS VERY HAPPY..GOOD DELIVERY...
on 28 August 2017,/gp/customer-reviews/R12OLA2ZCPD3IO?ASIN=B01DDP7D6W,4,Sampat  I,Good at this price range
date,url,rating,user,opinion
on 16 May 2018,/gp/customer-reviews/R18IH1SV0XCQMS?ASIN=B01DDP7D6W,3,Sachin rajeshbhai yagnik,Rear and Front Camera quality not good. Poor Flash light . Battery life is small.
on 24 December 2016,/gp/customer-reviews/R30TF3RAIIZHF3?ASIN=B01DDP7D6W,3,Krishnegowda N,But I not received Travailing charger adapter.
on 12 April 2018,/gp/customer-reviews/RJUKIDHO322ZR?ASIN=B01DDP7D6W,3,Priyank Sirohi,just ok
on 27 February 2017,/gp/customer-reviews/R3I6ZI6AT0GDUR?ASIN=B01DDP7D6W,1,h.SHAHINSHA,"Charging dry in 40% in 4 hours without data on, please replace the mobile"
on 27 July 2018,/gp/customer-reviews/R2ZTFPX2E7XPN7?ASIN=B01DDP7D6W,5, satyaki malla,Best samsung mobile at tgis price range nice specification.👍👍
on 24 April 2018,/gp/customer-reviews/RUVAZ3KQRSSL6?ASIN=B01DDP7D6W,4,Sohan,Ear phone not given please send me earphone other wise give price of ear phone
on 8 February 2018,/gp/customer-reviews/R1EP5B9KGCBOX6?ASIN=B01DDP7D6W,5,vikash sharma,Awesome
on 13 March 2018,/gp/customer-reviews/R2TF1ENMKXKCTG?ASIN=B01DDP7D6W,2,Pugazhendhi,Received a defective headphone device along with the phone
on 14 April 2017,/gp/customer-reviews/R33CCWUSC3B816?ASIN=B01DDP7D6W,3,Hitendra S.,Product is  good  but sound quality of the product is very  worst
on 6 September 2018,/gp/customer-reviews/R1KNSPT0IBDQ5Z?ASIN=B01DDP7D6W,5,Satyajit,Good as expected
date,url,rating,user,opinion
on 18 April 2018,/gp/customer-reviews/R3AIQQKBTYOCQX?ASIN=B01DDP7D6W,3,Raavan,It doesn't have ear headphones.
on 19 February 2018,/gp/customer-reviews/RV24AC1MWOIRP?ASIN=B01DDP7D6W,2,bharath,Facing Speaker problem...
on 24 September 2017,/gp/customer-reviews/R1YYH9C1CR21EU?ASIN=B01DDP7D6W,5,vinay yadav,badhiya h.....
on 19 November 2016,/gp/customer-reviews/R2AVSPOGWRN33I?ASIN=B01DDP7D6W,5,sivaganesh,Samsung on7pro gold mobile got for9990 from amazon. Excellent mobile.13mp camera2gb ram16gb internal memory.No cons i felt.
on 20 December 2016,/gp/customer-reviews/RWL8UAXIO7L5A?ASIN=B01DDP7D6W,1,nitesh dhul,Worst product ever got. Not working... hanging alot.... return not initiated by amazon... they said some policy has changed and they can only arrange replacement
on 24 January 2018,/gp/customer-reviews/RB7G0VMU6PQ2J?ASIN=B01DDP7D6W,5,Birbal Sahu,Good
on 19 August 2018,/gp/customer-reviews/R2P8X9CDX8P66F?ASIN=B01DDP7D6W,5,Amazon Customer,Good everything.Amazon delivery was very fast.
on 26 May 2018,/gp/customer-reviews/RXA9S9E4IXDWK?ASIN=B01DDP7D6W,5,Rashid,Nice phone...!
on 10 June 2018,/gp/customer-reviews/R34T2PTDD4XUH3?ASIN=B01DDP7D6W,5,VEMBARASAN V,Good product
